,Age,Age_group,Education,Marital_Status,Income,Children,Dt_Customer,Recency,Wines,Fruits,Meat,Fish,Sweet,Gold,Total_Spending,NumDeals,NumWeb,NumCatalog,NumStore,NumWebVisits,Total_Purchases,Avg_spend,Cmp3,Cmp4,Cmp5,Cmp1,Cmp2,Complain,Response,Campaign_Accepted
0,55,Adult,Graduate,Single,58138.0,0,2012-09-04,58,635,88,546,172,88,88,1617,3,8,10,4,7,22,7.333333333333333,0,0,0,0,0,0,1,1
1,60,Adult,Graduate,Single,46344.0,2,2014-03-08,38,11,1,6,2,1,6,27,2,1,1,2,5,4,2.0,0,0,0,0,0,0,0,0
2,48,Adult,Graduate,Married,71613.0,0,2013-08-21,26,426,49,127,111,21,42,776,1,8,2,10,4,20,20.0,0,0,0,0,0,0,0,0
3,30,Middle Age,Graduate,Married,26646.0,1,2014-02-10,26,11,4,20,10,3,5,53,2,2,0,4,6,6,3.0,0,0,0,0,0,0,0,0
4,33,Middle Age,Postgraduate,Married,58293.0,1,2014-01-19,94,173,43,118,46,27,15,422,5,5,3,6,5,14,2.8,0,0,0,0,0,0,0,0
5,46,Adult,Postgraduate,Married,62513.0,1,2013-09-09,16,520,42,98,0,42,14,716,2,6,4,10,6,20,10.0,0,0,0,0,0,0,0,0
6,41,Middle Age,Graduate,Divorced,55635.0,1,2012-11-13,34,235,65,164,50,49,27,590,4,7,3,7,6,17,4.25,0,0,0,0,0,0,0,0
7,28,Middle Age,Postgraduate,Married,33454.0,1,2013-05-08,32,76,10,56,3,1,23,169,2,4,0,4,8,8,4.0,0,0,0,0,0,0,0,0
8,39,Middle Age,Postgraduate,Married,30351.0,1,2013-06-06,19,14,0,24,3,3,2,46,1,3,0,2,9,5,5.0,0,0,0,0,0,0,1,1
9,64,Adult,Postgraduate,Married,5648.0,2,2014-03-13,68,28,0,6,1,1,13,49,1,1,0,0,20,1,1.0,1,0,0,0,0,0,0,1
10,30,Middle Age,Graduate,Married,32458.315891472866,1,2013-11-15,11,5,5,6,0,2,1,19,1,1,0,2,7,3,3.0,0,0,0,0,0,0,0,0
11,36,Middle Age,Basic,Married,7500.0,0,2012-11-13,59,6,16,11,11,1,16,61,1,2,0,3,8,5,5.0,0,0,0,0,0,0,0,0
12,54,Adult,Graduate,Divorced,63033.0,0,2013-11-15,82,194,61,480,225,112,30,1102,1,3,4,8,2,15,15.0,0,0,0,0,0,0,0,0
13,61,Adult,Postgraduate,Divorced,59354.0,2,2013-11-15,53,233,2,53,3,5,14,310,3,6,1,5,6,12,4.0,0,0,0,0,0,0,0,0
14,25,Middle Age,Graduate,Married,17323.0,0,2012-10-10,38,3,14,17,6,1,5,46,1,1,0,3,8,4,4.0,0,0,0,0,0,0,0,0
15,66,Elderly,Postgraduate,Single,82800.0,0,2012-11-24,23,1006,22,115,59,68,45,1315,1,7,6,12,3,25,25.0,0,0,1,1,0,0,1,3
16,32,Middle Age,Graduate,Married,41850.0,2,2012-12-24,51,53,5,19,2,13,4,96,3,3,0,3,8,6,2.0,0,0,0,0,0,0,0,0
17,66,Elderly,Graduate,Married,37760.0,0,2012-08-31,20,84,5,38,150,12,28,317,2,4,1,6,7,11,5.5,0,0,0,0,0,0,0,0
18,64,Adult,Postgraduate,Married,76995.0,1,2013-03-28,91,1012,80,498,0,16,176,1782,2,11,4,9,5,24,12.0,0,0,0,1,0,0,0,1
19,27,Middle Age,Postgraduate,Single,33812.0,1,2012-11-03,86,4,17,19,30,24,39,133,2,2,1,3,6,6,3.0,0,0,0,0,0,0,0,0
20,30,Middle Age,Graduate,Married,37040.0,0,2012-08-08,41,86,2,73,69,38,48,316,1,4,2,5,8,11,11.0,0,0,0,0,0,0,0,0
21,34,Middle Age,Graduate,Married,2447.0,1,2013-01-06,42,1,1,1725,1,1,1,1730,15,0,28,0,1,28,1.8666666666666667,0,0,0,0,0,0,0,0
22,63,Adult,Postgraduate,Married,58607.0,1,2012-12-23,63,867,0,86,0,0,19,972,3,2,3,9,8,14,4.666666666666667,0,1,0,0,0,0,0,1
23,60,Adult,Postgraduate,Married,65324.0,1,2014-01-11,0,384,0,102,21,32,5,544,3,6,2,9,4,17,5.666666666666667,0,0,0,0,0,0,0,0
24,62,Adult,Graduate,Married,40689.0,1,2013-03-18,69,270,3,27,39,6,99,444,7,7,1,5,8,13,1.8571428571428572,0,0,0,0,0,0,0,0
25,44,Middle Age,Graduate,Single,18589.0,0,2013-01-02,89,6,4,25,15,12,13,75,2,2,1,3,7,6,3.0,0,0,0,0,0,0,0,0
26,37,Middle Age,Graduate,Married,53359.0,2,2013-05-27,4,173,4,30,3,6,41,257,4,5,1,4,7,10,2.5,0,0,0,0,0,0,0,0
27,27,Middle Age,Graduate,Single,60336.155818540436,1,2013-02-20,19,5,1,3,3,263,362,637,0,27,0,0,1,27,inf,0,0,0,0,0,0,0,0
28,24,Young Adult,Graduate,Married,38360.0,1,2013-05-31,26,36,2,42,20,21,10,131,2,2,1,4,3,7,3.5,0,0,0,0,0,0,0,0
29,48,Adult,Postgraduate,Married,84618.0,0,2013-11-22,96,684,100,801,21,66,0,1672,1,6,9,10,2,25,25.0,0,0,1,0,0,0,0,1
30,25,Middle Age,Postgraduate,Divorced,10979.0,0,2014-05-22,34,8,4,10,2,2,4,30,2,3,0,3,5,6,3.0,0,0,0,0,0,0,0,0
31,50,Adult,Postgraduate,Married,38620.0,0,2013-05-11,56,112,17,44,34,22,89,318,1,2,5,3,3,10,10.0,0,0,0,0,0,0,0,0
32,42,Middle Age,Graduate,Married,40548.0,1,2012-10-10,31,110,0,5,2,0,3,120,2,2,1,4,5,7,3.5,0,1,0,0,0,0,0,1
33,60,Adult,Postgraduate,Divorced,46610.0,2,2012-10-29,8,96,12,96,33,22,43,302,6,4,1,6,6,11,1.8333333333333333,0,0,0,0,0,0,1,1
34,67,Elderly,Postgraduate,Married,68657.0,0,2013-02-20,4,482,34,471,119,68,22,1196,1,3,5,9,7,17,17.0,0,0,0,0,0,0,0,0
35,62,Adult,Postgraduate,Single,49389.0,2,2013-08-29,55,40,0,19,2,1,3,65,1,2,0,3,7,5,5.0,0,0,0,0,0,0,0,0
36,43,Middle Age,Postgraduate,Married,67353.0,1,2013-12-31,37,702,17,151,0,8,35,913,5,5,6,12,2,23,4.6,0,0,0,0,0,0,0,0
37,37,Middle Age,Postgraduate,Married,23718.0,1,2013-09-02,76,6,3,14,15,7,36,81,3,3,1,2,7,6,2.0,0,0,0,0,0,0,0,0
38,41,Middle Age,Graduate,Widow,42429.0,1,2014-02-11,99,55,0,6,2,0,4,67,2,1,1,3,5,5,2.5,0,0,0,0,0,0,0,0
39,70,Elderly,Postgraduate,Divorced,48948.0,0,2013-02-01,53,437,8,206,160,49,42,902,2,7,10,5,6,22,11.0,1,0,0,0,0,0,1,2
40,33,Middle Age,Graduate,Married,80011.0,1,2013-04-29,3,421,76,536,82,178,102,1395,2,8,6,5,4,19,9.5,0,0,0,0,0,0,0,0
41,28,Middle Age,Postgraduate,Married,20559.0,1,2013-03-12,88,13,1,29,3,0,7,53,2,2,0,3,8,5,2.5,0,0,0,0,0,0,0,0
42,55,Adult,Graduate,Married,21994.0,1,2012-12-24,4,9,0,6,3,1,3,22,1,0,0,3,5,3,3.0,0,0,0,0,0,0,0,0
43,54,Adult,Postgraduate,Single,41430.414,0,2013-11-05,80,81,11,50,3,2,39,186,1,1,3,4,2,8,8.0,0,0,0,0,0,0,0,0
44,38,Middle Age,Postgraduate,Married,7500.0,1,2013-10-02,19,3,1,10,3,2,12,31,3,2,0,3,5,5,1.6666666666666667,0,0,0,0,0,0,0,0
45,38,Middle Age,Graduate,Single,79941.0,0,2014-06-28,72,123,164,266,227,30,174,984,1,2,4,9,1,15,15.0,0,0,0,0,0,0,0,0
46,16,Young Adult,Postgraduate,Married,7500.0,0,2012-11-09,24,3,18,14,15,22,50,122,3,3,1,3,9,7,2.3333333333333335,0,0,0,0,0,0,1,1
47,45,Adult,Graduate,Married,41728.0,1,2013-05-24,92,13,6,15,3,5,13,55,1,2,0,2,10,4,4.0,0,0,0,0,0,0,0,0
48,63,Adult,Graduate,Single,41430.414,3,2014-01-01,96,48,5,48,6,10,7,124,3,2,1,4,6,7,2.3333333333333335,0,0,0,0,0,0,0,0
49,58,Adult,Postgraduate,Married,72550.0,2,2012-11-08,39,826,50,317,50,38,38,1319,9,5,2,12,8,19,2.111111111111111,0,0,0,0,0,0,0,0
50,57,Adult,Graduate,Widow,65486.0,1,2014-05-12,29,245,19,125,37,67,14,507,1,4,2,10,2,16,16.0,0,0,0,0,0,0,0,0
51,48,Adult,Postgraduate,Married,79143.0,0,2012-08-11,2,650,37,780,27,167,32,1693,1,6,9,13,3,28,28.0,0,0,0,0,0,0,0,0
52,36,Middle Age,Graduate,Single,35790.0,1,2013-01-02,54,12,6,20,30,1,3,72,2,2,0,3,7,5,2.5,0,0,0,0,0,0,0,0
53,37,Middle Age,Graduate,Divorced,82582.0,0,2014-06-07,54,510,120,550,156,40,241,1617,1,4,9,7,1,20,20.0,1,0,0,1,0,0,1,3
54,35,Middle Age,Graduate,Married,66373.0,2,2013-06-12,57,328,9,124,12,24,109,606,7,4,2,10,3,16,2.2857142857142856,0,0,0,0,0,0,0,0
55,57,Adult,Postgraduate,Married,82384.0,0,2012-11-19,55,984,51,432,180,120,190,1957,1,3,10,13,1,26,26.0,0,0,1,0,0,0,1,2
56,47,Adult,Graduate,Divorced,70287.0,0,2013-04-02,30,295,35,482,121,120,40,1093,1,5,5,10,3,20,20.0,0,0,0,0,0,0,1,1
57,26,Middle Age,Graduate,Single,27938.0,1,2014-04-28,31,13,0,8,2,1,5,29,1,1,0,4,3,5,5.0,0,0,0,0,0,0,0,0
58,31,Middle Age,Graduate,Single,32458.315891472866,1,2013-06-17,57,11,3,22,2,2,6,46,2,2,0,3,6,5,2.5,0,0,0,0,0,0,0,0
59,46,Adult,Postgraduate,Married,55954.0,1,2014-03-03,63,447,0,28,0,0,43,518,3,8,2,6,7,16,5.333333333333333,0,0,0,0,0,0,0,0
60,31,Middle Age,Postgraduate,Single,75777.0,0,2013-07-04,12,712,26,538,69,13,80,1438,1,3,6,11,1,20,20.0,0,1,1,0,0,0,1,3
61,37,Middle Age,Graduate,Married,66653.0,2,2012-09-07,18,452,18,102,16,18,6,612,4,4,2,12,3,18,4.5,0,0,0,0,0,0,0,0
62,61,Adult,Graduate,Single,61823.0,1,2013-02-18,26,523,7,134,37,14,169,884,4,8,2,10,7,20,5.0,0,0,0,0,0,0,0,0
63,62,Adult,Postgraduate,Widow,67680.0,1,2013-06-11,8,546,0,48,0,6,6,606,1,7,3,8,5,18,18.0,0,0,0,0,0,0,0,0
64,65,Elderly,Graduate,Married,70666.0,0,2013-12-06,29,398,40,367,119,122,30,1076,1,7,4,4,4,15,15.0,0,0,0,0,0,0,0,0
65,42,Middle Age,Graduate,Married,25721.0,1,2013-05-21,75,1,3,6,3,6,15,34,1,1,1,2,7,4,4.0,0,0,0,0,0,0,1,1
66,47,Adult,Graduate,Married,32474.0,2,2014-05-11,0,10,0,1,0,0,0,11,1,1,0,2,7,3,3.0,0,0,0,0,0,0,0,0
67,35,Middle Age,Postgraduate,Single,88194.0,1,2014-03-19,19,688,14,309,201,24,38,1274,1,11,10,10,5,31,31.0,1,0,0,1,0,0,1,3
68,55,Adult,Graduate,Married,69096.0,1,2013-09-27,4,247,49,159,7,82,109,653,1,5,2,10,4,17,17.0,0,0,0,0,0,0,0,0
69,43,Middle Age,Graduate,Married,74854.0,3,2013-04-08,90,856,59,487,58,29,73,1562,7,2,5,5,5,12,1.7142857142857142,0,0,0,0,0,0,0,0
70,58,Adult,Postgraduate,Married,66991.0,0,2012-09-11,1,496,36,460,189,60,12,1253,3,4,8,6,3,18,6.0,0,0,0,0,0,0,0,0
